"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Staphylococcus_aureus_subsp_aureus_strain1","Staphylococcus_aureus_subsp_aureus_strain2"
"narX","","Nitrate reductase-like protein NarX","2","2","1","16","612","","","","677","677","677","EFOPJNHM_02332","MMPIJKCK_01548"
"pgsA","","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","2","2","1","16","2152","","","","578","578","578","EFOPJNHM_01175","MMPIJKCK_00730"
"yhdG","","putative amino acid permease YhdG","2","2","1","16","819","","","","1448","1448","1448","EFOPJNHM_02535","MMPIJKCK_01744"
"group_1578","","hypothetical protein","2","2","1","16","1958","","","","527","527","527","EFOPJNHM_01551","MMPIJKCK_01051"
"tarJ","","Ribulose-5-phosphate reductase 1","2","2","1","16","1141","","","","1025","1025","1025","EFOPJNHM_00231","MMPIJKCK_02046"
"group_158","","hypothetical protein","2","2","1","16","771","","","","548","548","548","EFOPJNHM_02487","MMPIJKCK_01696"
"sufU","","Zinc-dependent sulfurtransferase SufU","2","2","1","16","1718","","","","464","464","464","EFOPJNHM_00813","MMPIJKCK_00308"
"group_1581","","hypothetical protein","2","2","1","16","750","","","","1043","1043","1043","EFOPJNHM_02466","MMPIJKCK_01675"
"sasA","","Adaptive-response sensory-kinase SasA","2","2","1","16","1873","","","","1664","1664","1664","EFOPJNHM_01634","MMPIJKCK_01135"
"ymcA","","putative protein YmcA","2","2","1","16","2162","","","","365","365","365","EFOPJNHM_01185","MMPIJKCK_00740"
"group_1584","","hypothetical protein","2","2","1","16","332","","","","233","233","233","EFOPJNHM_02050","MMPIJKCK_02506"
"group_1585","","Nucleoid-associated protein","2","2","1","16","1355","","","","317","317","317","EFOPJNHM_00428","MMPIJKCK_02246"
"yutF","","Acid sugar phosphatase","2","2","1","16","2792","","","","779","779","779","EFOPJNHM_00825","MMPIJKCK_00387"
"moaD","","Molybdopterin synthase sulfur carrier subunit","2","2","1","16","490","","","","233","233","233","EFOPJNHM_02211","MMPIJKCK_01430"
"carA_1","","Carbamoyl-phosphate synthase small chain","2","2","1","16","2073","","","","1100","1100","1100","EFOPJNHM_01094","MMPIJKCK_00651"
"scn_1","","Staphylococcal complement inhibitor","2","2","1","16","43","","","","350","350","350","EFOPJNHM_01050","MMPIJKCK_00609"
"ldhD_2","","D-lactate dehydrogenase","2","2","1","16","777","","","","998","1028","1013","EFOPJNHM_02493","MMPIJKCK_01702"
"ktrA","","Ktr system potassium uptake protein A","2","2","1","16","111","","","","662","662","662","EFOPJNHM_00983","MMPIJKCK_00543"
"group_1591","","hypothetical protein","2","2","1","16","2279","","","","623","623","623","EFOPJNHM_01299","MMPIJKCK_00856"
"lysP_2","","Lysine-specific permease","2","2","1","16","1884","","","","1493","1493","1493","EFOPJNHM_01623","MMPIJKCK_01125"
"group_1593","","hypothetical protein","2","2","1","16","762","","","","431","431","431","EFOPJNHM_02478","MMPIJKCK_01687"
"group_1594","","Putative heme-dependent peroxidase","2","2","1","16","1463","","","","752","752","752","EFOPJNHM_00554","MMPIJKCK_00068"
"group_1595","","hypothetical protein","2","2","1","16","879","","","","500","500","500","EFOPJNHM_02595","MMPIJKCK_01804"
"rpsH","","30S ribosomal protein S8","2","2","1","16","457","","","","398","398","398","EFOPJNHM_02178","MMPIJKCK_01397"
"group_1597","","hypothetical protein","2","2","1","16","1713","","","","194","194","194","EFOPJNHM_00808","MMPIJKCK_00303"
"kdpE","","KDP operon transcriptional regulatory protein KdpE","2","2","1","16","312","","","","695","695","695","EFOPJNHM_02030","MMPIJKCK_02526"
"ureG","","Urease accessory protein UreG","2","2","1","16","512","","","","614","614","614","EFOPJNHM_02233","MMPIJKCK_01452"
"group_160","","hypothetical protein","2","2","1","16","790","","","","320","320","320","EFOPJNHM_02506","MMPIJKCK_01715"
"proC","","Pyrroline-5-carboxylate reductase","2","2","1","16","2051","","","","815","815","815","EFOPJNHM_01459","MMPIJKCK_00953"
"qoxA","","putative quinol oxidase subunit 2","2","2","1","16","137","","","","1100","1100","1100","EFOPJNHM_00957","MMPIJKCK_00517"
"gluD","","NAD-specific glutamate dehydrogenase","2","2","1","16","2821","","","","1244","1244","1244","EFOPJNHM_00854","MMPIJKCK_00416"
"thrS","","Threonine--tRNA ligase","2","2","1","16","1883","","","","1937","1937","1937","EFOPJNHM_01624","MMPIJKCK_01126"
"group_1604","","hypothetical protein","2","2","1","16","2077","","","","212","212","212","EFOPJNHM_01098","MMPIJKCK_00655"
"rpsU","","30S ribosomal protein S21","2","2","1","16","1980","","","","176","176","176","EFOPJNHM_01529","MMPIJKCK_01029"
"mrpC","","Na(+)/H(+) antiporter subunit C","2","2","1","16","1507","","","","344","344","344","EFOPJNHM_00600","MMPIJKCK_00113"
"group_1607","","hypothetical protein","2","2","1","16","1617","","","","314","314","314","EFOPJNHM_00711","MMPIJKCK_00223"
"group_1608","","hypothetical protein","2","2","1","16","162","","","","245","245","245","EFOPJNHM_00930","MMPIJKCK_00492"
"fhuD_1","","Iron(3+)-hydroxamate-binding protein FhuD","2","2","1","16","504","","","","908","908","908","EFOPJNHM_02225","MMPIJKCK_01444"
"group_161","","hypothetical protein","2","2","1","16","799","","","","890","890","890","EFOPJNHM_02515","MMPIJKCK_01724"
"yeeD","","Putative sulfur carrier protein YeeD","2","2","1","16","2695","","","","224","224","224","EFOPJNHM_01990","MMPIJKCK_02424"
"arlR","","Response regulator ArlR","2","2","1","16","2289","","","","659","659","659","EFOPJNHM_01310","MMPIJKCK_00866"
"rpmC","","50S ribosomal protein L29","2","2","1","16","463","","","","209","209","209","EFOPJNHM_02184","MMPIJKCK_01403"
"slyA_1","","Transcriptional regulator SlyA","2","2","1","16","146","","","","419","419","419","EFOPJNHM_00948","MMPIJKCK_00508"
"tcyC_1","","L-cystine import ATP-binding protein TcyC","2","2","1","16","2501","","","","728","728","728","EFOPJNHM_01796","MMPIJKCK_01303"
"mtlD","","Mannitol-1-phosphate 5-dehydrogenase","2","2","1","16","385","","","","1106","1106","1106","EFOPJNHM_02103","MMPIJKCK_02453"
"group_1616","","hypothetical protein","2","2","1","16","2751","","","","245","245","245","EFOPJNHM_01417","MMPIJKCK_02373"
"coaD","","Phosphopantetheine adenylyltransferase","2","2","1","16","76","","","","482","482","482","EFOPJNHM_01018","MMPIJKCK_00578"
"cynR","","HTH-type transcriptional regulator CynR","2","2","1","16","760","","","","863","863","863","EFOPJNHM_02476","MMPIJKCK_01685"
"pepF1_2","","Oligoendopeptidase F, plasmid","2","2","1","16","2259","","","","1814","1814","1814","EFOPJNHM_01279","MMPIJKCK_00836"
"cocE","","Cocaine esterase","2","2","1","16","811","","","","1136","1682","1409","EFOPJNHM_02527","MMPIJKCK_01736"
"copZ","","Copper chaperone CopZ","2","2","1","16","776","","","","206","206","206","EFOPJNHM_02492","MMPIJKCK_01701"
"pstB3","","Phosphate import ATP-binding protein PstB 3","2","2","1","16","2261","","","","851","851","851","EFOPJNHM_01281","MMPIJKCK_00838"
"nos","","Nitric oxide synthase oxygenase","2","2","1","16","2564","","","","1076","1076","1076","EFOPJNHM_01885","MMPIJKCK_02316"
"nhaK_1","","Sodium, potassium, lithium and rubidium/H(+) antiporter","2","2","1","16","1512","","","","2042","2042","2042","EFOPJNHM_00605","MMPIJKCK_00118"
"fdhD","","Sulfur carrier protein FdhD","2","2","1","16","500","","","","797","797","797","EFOPJNHM_02221","MMPIJKCK_01440"
"glcK","","Glucokinase","2","2","1","16","2007","","","","986","986","986","EFOPJNHM_01502","MMPIJKCK_01002"
"esxA","","Type VII secretion system extracellular protein A","2","2","1","16","1167","","","","293","293","293","EFOPJNHM_00256","MMPIJKCK_02074"
"group_1627","","NAD-dependent malic enzyme","2","2","1","16","1864","","","","1229","1229","1229","EFOPJNHM_01643","MMPIJKCK_01144"
"group_1628","","hypothetical protein","2","2","1","16","1195","","","","398","398","398","EFOPJNHM_00279","MMPIJKCK_02102"
"group_1629","","hypothetical protein","2","2","1","16","2253","","","","473","473","473","EFOPJNHM_01273","MMPIJKCK_00830"
"group_163","","hypothetical protein","2","2","1","16","838","","","","251","251","251","EFOPJNHM_02554","MMPIJKCK_01763"
"rpmB","","50S ribosomal protein L28","2","2","1","16","2095","","","","188","188","188","EFOPJNHM_01116","MMPIJKCK_00673"
"isdG_1","","Heme oxygenase (staphylobilin-producing) 1","2","2","1","16","65","","","","323","323","323","EFOPJNHM_01029","MMPIJKCK_00589"
"modA","","Molybdate-binding protein ModA","2","2","1","16","499","","","","782","782","782","EFOPJNHM_02220","MMPIJKCK_01439"
"putP","","Sodium/proline symporter","2","2","1","16","2551","","","","1538","1538","1538","EFOPJNHM_01872","MMPIJKCK_02303"
"mscL","","Large-conductance mechanosensitive channel","2","2","1","16","2225","","","","362","362","362","EFOPJNHM_01244","MMPIJKCK_00802"
"group_1635","","hypothetical protein","2","2","1","16","181","","","","758","758","758","EFOPJNHM_00908","MMPIJKCK_00470"
"ilvD","","Dihydroxy-acid dehydratase","2","2","1","16","2686","","","","1688","1688","1688","EFOPJNHM_01999","MMPIJKCK_02433"
"pstS","","Phosphate-binding protein PstS","2","2","1","16","2264","","","","983","983","983","EFOPJNHM_01284","MMPIJKCK_00841"
"group_1638","","Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase","2","2","1","16","1561","","","","566","566","566","EFOPJNHM_00654","MMPIJKCK_00167"
"group_1639","","hypothetical protein","2","2","1","16","1038","","","","1079","1079","1079","EFOPJNHM_00131","MMPIJKCK_01955"
"group_164","","hypothetical protein","2","2","1","16","874","","","","428","944","686","EFOPJNHM_02590","MMPIJKCK_01799"
"yibN","","putative protein YibN","2","2","1","16","2021","","","","386","386","386","EFOPJNHM_01489","MMPIJKCK_00989"
"group_1641","","hypothetical protein","2","2","1","16","79","","","","254","254","254","EFOPJNHM_01015","MMPIJKCK_00575"
"group_1642","","hypothetical protein","2","2","1","16","167","","","","176","176","176","EFOPJNHM_00924","MMPIJKCK_00486"
"group_1643","","hypothetical protein","2","2","1","16","600","","","","356","356","356","EFOPJNHM_02320","MMPIJKCK_01537"
"recR","","Recombination protein RecR","2","2","1","16","1356","","","","596","596","596","EFOPJNHM_00429","MMPIJKCK_02247"
"group_1645","","hypothetical protein","2","2","1","16","1535","","","","1067","1067","1067","EFOPJNHM_00628","MMPIJKCK_00141"
"pdhA","","Pyruvate dehydrogenase E1 component subunit alpha","2","2","1","16","106","","","","1112","1112","1112","EFOPJNHM_00988","MMPIJKCK_00548"
"oatA_1","","O-acetyltransferase OatA","2","2","1","16","2836","","","","1814","1814","1814","EFOPJNHM_00869","MMPIJKCK_00430"
"pdxS","","Pyridoxal 5'-phosphate synthase subunit PdxS","2","2","1","16","1395","","","","887","887","887","EFOPJNHM_00487","MMPIJKCK_00002"
"msrB","","Peptide methionine sulfoxide reductase MsrB","2","2","1","16","2298","","","","428","428","428","EFOPJNHM_01318","MMPIJKCK_00874"
"group_165","","hypothetical protein","2","2","1","16","875","","","","302","302","302","EFOPJNHM_02591","MMPIJKCK_01800"
"group_1650","","hypothetical protein","2","2","1","16","689","","","","362","362","362","EFOPJNHM_02408","MMPIJKCK_01624"
"group_1651","","hypothetical protein","2","2","1","16","726","","","","416","416","416","EFOPJNHM_02442","MMPIJKCK_01652"
"group_1652","","Alkaline shock protein 23","2","2","1","16","408","","","","509","509","509","EFOPJNHM_02135","MMPIJKCK_01349"
"group_1653","","hypothetical protein","2","2","1","16","830","","","","686","686","686","EFOPJNHM_02546","MMPIJKCK_01755"
"mnmE","","tRNA modification GTPase MnmE","2","2","1","16","927","","","","1379","1379","1379","EFOPJNHM_02643","MMPIJKCK_01852"
"mgsR","","Regulatory protein MgsR","2","2","1","16","1704","","","","356","356","356","EFOPJNHM_00799","MMPIJKCK_00294"
"group_1656","","hypothetical protein","2","2","1","16","49","","","","503","503","503","EFOPJNHM_01045","MMPIJKCK_00604"
"group_1657","","hypothetical protein","2","2","1","16","541","","","","530","530","530","EFOPJNHM_02262","MMPIJKCK_01480"
"hisS","","Histidine--tRNA ligase","2","2","1","16","1926","","","","1262","1262","1262","EFOPJNHM_01582","MMPIJKCK_01083"
"rplV","","50S ribosomal protein L22","2","2","1","16","466","","","","353","353","353","EFOPJNHM_02187","MMPIJKCK_01406"
"hisC_2","","Histidinol-phosphate aminotransferase","2","2","1","16","894","","","","1013","1013","1013","EFOPJNHM_02610","MMPIJKCK_01819"
"group_1660","","hypothetical protein","2","2","1","16","2523","","","","206","206","206","EFOPJNHM_01850","MMPIJKCK_02267"
"yfbR","","5'-deoxynucleotidase YfbR","2","2","1","16","1636","","","","650","650","650","EFOPJNHM_00730","MMPIJKCK_00242"
"atpB","","ATP synthase subunit a","2","2","1","16","340","","","","728","728","728","EFOPJNHM_02058","MMPIJKCK_02498"
"gcvT","","Aminomethyltransferase","2","2","1","16","2018","","","","1091","1091","1091","EFOPJNHM_01492","MMPIJKCK_00992"
"cntL","","D-histidine 2-aminobutanoyltransferase","2","2","1","16","687","","","","818","818","818","EFOPJNHM_02406","MMPIJKCK_01622"
"moaB","","Molybdenum cofactor biosynthesis protein B","2","2","1","16","495","","","","506","506","506","EFOPJNHM_02216","MMPIJKCK_01435"
"gatA_1","","PTS system galactitol-specific EIIA component","2","2","1","16","1130","","","","467","467","467","EFOPJNHM_00220","MMPIJKCK_02035"
"group_1667","","hypothetical protein","2","2","1","16","2709","","","","626","626","626","EFOPJNHM_01979","MMPIJKCK_02413"
"pnp_2","","Polyribonucleotide nucleotidyltransferase","2","2","1","16","1384","","","","401","401","401","EFOPJNHM_00460","MMPIJKCK_02571"
"secY_1","","Protein translocase subunit SecY","2","2","1","16","451","","","","1292","1292","1292","EFOPJNHM_02172","MMPIJKCK_01391"
"nhoA","","Arylamine N-acetyltransferase / N-hydroxyarylamine O-acetyltransferase","2","2","1","16","915","","","","794","800","797","EFOPJNHM_02631","MMPIJKCK_01840"
"lacB","","Galactose-6-phosphate isomerase subunit LacB","2","2","1","16","420","","","","515","515","515","EFOPJNHM_02147","MMPIJKCK_01361"
"ctaA","","Heme A synthase","2","2","1","16","85","","","","1070","1070","1070","EFOPJNHM_01009","MMPIJKCK_00569"
"narH","","Respiratory nitrate reductase 1 beta chain","2","2","1","16","614","","","","1559","1559","1559","EFOPJNHM_02334","MMPIJKCK_01550"
"group_1673","","hypothetical protein","2","2","1","16","1538","","","","506","506","506","EFOPJNHM_00631","MMPIJKCK_00144"
"ureF","","Urease accessory protein UreF","2","2","1","16","511","","","","689","689","689","EFOPJNHM_02232","MMPIJKCK_01451"
"group_1675","","hypothetical protein","2","2","1","16","1343","","","","395","395","395","EFOPJNHM_00415","MMPIJKCK_02234"
"group_1676","","hypothetical protein","2","2","1","16","1603","","","","1514","1514","1514","EFOPJNHM_00696","MMPIJKCK_00209"
"group_1677","","hypothetical protein","2","2","1","16","623","","","","467","467","467","EFOPJNHM_02343","MMPIJKCK_01559"
"vraR","","Response regulator protein VraR","2","2","1","16","2527","","","","629","629","629","EFOPJNHM_01854","MMPIJKCK_02271"
"metN2","","Methionine import ATP-binding protein MetN 2","2","2","1","16","1710","","","","1025","1025","1025","EFOPJNHM_00805","MMPIJKCK_00300"
"bceB_3","","Bacitracin export permease protein BceB","2","2","1","16","918","","","","1880","1880","1880","EFOPJNHM_02634","MMPIJKCK_01843"
"group_1680","","hypothetical protein","2","2","1","16","1909","","","","530","530","530","EFOPJNHM_01599","MMPIJKCK_01100"
"ptpA","","Low molecular weight protein-tyrosine-phosphatase PtpA","2","2","1","16","2524","","","","464","464","464","EFOPJNHM_01851","MMPIJKCK_02268"
"group_1682","","DegV domain-containing protein","2","2","1","16","2300","","","","839","839","839","EFOPJNHM_01320","MMPIJKCK_00876"
"pcrA","","ATP-dependent DNA helicase PcrA","2","2","1","16","2554","","","","2192","2192","2192","EFOPJNHM_01875","MMPIJKCK_02306"
"group_1684","","hypothetical protein","2","2","1","16","2489","","","","344","344","344","EFOPJNHM_01784","MMPIJKCK_01291"
"nrdR","","Transcriptional repressor NrdR","2","2","1","16","1880","","","","470","470","470","EFOPJNHM_01627","MMPIJKCK_01129"
"tcaR","","HTH-type transcriptional regulator TcaR","2","2","1","16","574","","","","455","455","455","EFOPJNHM_02295","MMPIJKCK_01513"
"cysA","","Sulfate/thiosulfate import ATP-binding protein CysA","2","2","1","16","497","","","","605","605","605","EFOPJNHM_02218","MMPIJKCK_01437"
"group_1688","","Putative NAD(P)H nitroreductase","2","2","1","16","740","","","","671","671","671","EFOPJNHM_02456","MMPIJKCK_01665"
"group_1689","","hypothetical protein","2","2","1","16","319","","","","293","293","293","EFOPJNHM_02037","MMPIJKCK_02519"
"cpnA","","Cyclopentanol dehydrogenase","2","2","1","16","796","","","","704","704","704","EFOPJNHM_02512","MMPIJKCK_01721"
"spo0J","","Stage 0 sporulation protein J","2","2","1","16","1250","","","","845","845","845","EFOPJNHM_00334","MMPIJKCK_02157"
"oppD_1","","Oligopeptide transport ATP-binding protein OppD","2","2","1","16","206","","","","1082","1082","1082","EFOPJNHM_00883","MMPIJKCK_00445"
"deoB","","Phosphopentomutase","2","2","1","16","1018","","","","1178","1178","1178","EFOPJNHM_00111","MMPIJKCK_01937"
"group_1694","","hypothetical protein","2","2","1","16","2577","","","","524","524","524","EFOPJNHM_01898","MMPIJKCK_02329"
"rpmD","","50S ribosomal protein L30","2","2","1","16","453","","","","179","179","179","EFOPJNHM_02174","MMPIJKCK_01393"
"msmX","","Oligosaccharides import ATP-binding protein MsmX","2","2","1","16","1098","","","","1097","1097","1097","EFOPJNHM_00189","MMPIJKCK_02003"
"group_1697","","hypothetical protein","2","2","1","16","1335","","","","1337","1337","1337","EFOPJNHM_00407","MMPIJKCK_02226"
"group_1698","","Protein SprT-like protein","2","2","1","16","2677","","","","455","455","455","EFOPJNHM_02013","MMPIJKCK_02542"
"group_1699","","hypothetical protein","2","2","1","16","571","","","","551","551","551","EFOPJNHM_02292","MMPIJKCK_01510"
"group_17","","hypothetical protein","2","2","1","16","2754","","","","242","242","242","EFOPJNHM_01423","MMPIJKCK_00336"
"ptpB","","Low molecular weight protein-tyrosine-phosphatase PtpB","2","2","1","16","345","","","","419","419","419","EFOPJNHM_02064","MMPIJKCK_02493"
"rpsR","","30S ribosomal protein S18","2","2","1","16","1257","","","","242","242","242","EFOPJNHM_00341","MMPIJKCK_02164"
"group_1702","","Putative 5'(3')-deoxyribonucleotidase","2","2","1","16","1605","","","","542","542","542","EFOPJNHM_00699","MMPIJKCK_00211"
"group_1703","","hypothetical protein","2","2","1","16","1556","","","","689","689","689","EFOPJNHM_00649","MMPIJKCK_00162"
"ssbA_2","","Single-stranded DNA-binding protein A","2","2","1","16","1256","","","","503","503","503","EFOPJNHM_00340","MMPIJKCK_02163"
"group_1705","","hypothetical protein","2","2","1","16","2118","","","","872","872","872","EFOPJNHM_01141","MMPIJKCK_00696"
"group_1706","","hypothetical protein","2","2","1","16","1559","","","","299","299","299","EFOPJNHM_00652","MMPIJKCK_00165"
"rbsD","","D-ribose pyranase","2","2","1","16","1154","","","","404","404","404","EFOPJNHM_00244","MMPIJKCK_02059"
"ywqD_1","","Tyrosine-protein kinase YwqD","2","2","1","16","1032","","","","686","686","686","EFOPJNHM_00125","MMPIJKCK_01949"
"group_1709","","Ferredoxin--NADP reductase","2","2","1","16","591","","","","1034","1034","1034","EFOPJNHM_02311","MMPIJKCK_01528"
"ctsR","","Transcriptional regulator CtsR","2","2","1","16","1398","","","","470","470","470","EFOPJNHM_00490","MMPIJKCK_00005"
"ypcP","","5'-3' exonuclease","2","2","1","16","2318","","","","878","878","878","EFOPJNHM_01334","MMPIJKCK_00893"
"rimM","","Ribosome maturation factor RimM","2","2","1","16","2109","","","","503","503","503","EFOPJNHM_01131","MMPIJKCK_00687"
"group_1713","","hypothetical protein","2","2","1","16","2303","","","","437","437","437","EFOPJNHM_01323","MMPIJKCK_00879"
"zntB","","Zinc transport protein ZntB","2","2","1","16","564","","","","947","947","947","EFOPJNHM_02285","MMPIJKCK_01503"
"tgt","","Queuine tRNA-ribosyltransferase","2","2","1","16","1918","","","","1139","1139","1139","EFOPJNHM_01590","MMPIJKCK_01091"
"group_1716","","hypothetical protein","2","2","1","16","376","","","","1091","1091","1091","EFOPJNHM_02096","MMPIJKCK_02462"
"group_1717","","hypothetical protein","2","2","1","16","1963","","","","584","584","584","EFOPJNHM_01546","MMPIJKCK_01046"
"group_1718","","hypothetical protein","2","2","1","16","1534","","","","497","497","497","EFOPJNHM_00627","MMPIJKCK_00140"
"fmtA","","Teichoic acid D-alanine hydrolase","2","2","1","16","141","","","","1193","1193","1193","EFOPJNHM_00953","MMPIJKCK_00513"
"mrnC","","Mini-ribonuclease 3","2","2","1","16","1407","","","","404","404","404","EFOPJNHM_00499","MMPIJKCK_00014"
"group_1721","","hypothetical protein","2","2","1","16","400","","","","1370","1370","1370","EFOPJNHM_02127","MMPIJKCK_01341"
"group_1722","","hypothetical protein","2","2","1","16","1657","","","","458","458","458","EFOPJNHM_00752","MMPIJKCK_00264"
"cdd","","Cytidine deaminase","2","2","1","16","1987","","","","404","404","404","EFOPJNHM_01522","MMPIJKCK_01022"
"rpmA","","50S ribosomal protein L27","2","2","1","16","1912","","","","284","284","284","EFOPJNHM_01596","MMPIJKCK_01097"
"aspS","","Aspartate--tRNA ligase","2","2","1","16","1927","","","","1766","1766","1766","EFOPJNHM_01581","MMPIJKCK_01082"
"rplN","","50S ribosomal protein L14","2","2","1","16","461","","","","368","368","368","EFOPJNHM_02182","MMPIJKCK_01401"
"leuD","","3-isopropylmalate dehydratase small subunit","2","2","1","16","2679","","","","572","572","572","EFOPJNHM_02006","MMPIJKCK_02440"
"yjbM","","GTP pyrophosphokinase YjbM","2","2","1","16","189","","","","635","635","635","EFOPJNHM_00900","MMPIJKCK_00462"
"hfq","","RNA-binding protein Hfq","2","2","1","16","2172","","","","233","233","233","EFOPJNHM_01195","MMPIJKCK_00750"
"crtM","","4,4'-diapophytoene synthase","2","2","1","16","780","","","","863","863","863","EFOPJNHM_02496","MMPIJKCK_01705"
"group_1731","","hypothetical protein","2","2","1","16","1563","","","","683","683","683","EFOPJNHM_00656","MMPIJKCK_00169"
"hisH","","Imidazole glycerol phosphate synthase subunit HisH","2","2","1","16","892","","","","578","578","578","EFOPJNHM_02608","MMPIJKCK_01817"
"citZ","","Citrate synthase 2","2","2","1","16","1870","","","","1121","1121","1121","EFOPJNHM_01637","MMPIJKCK_01138"
"group_1734","","hypothetical protein","2","2","1","16","28","","","","188","188","188","EFOPJNHM_01064","MMPIJKCK_00623"
"rpoB","","DNA-directed RNA polymerase subunit beta","2","2","1","16","1418","","","","3551","3551","3551","EFOPJNHM_00510","MMPIJKCK_00025"
"kapB","","Kinase-associated lipoprotein B","2","2","1","16","2816","","","","383","383","383","EFOPJNHM_00849","MMPIJKCK_00411"
"gpsB","","Cell cycle protein GpsB","2","2","1","16","2324","","","","344","344","344","EFOPJNHM_01340","MMPIJKCK_00899"
"eno","","Enolase","2","2","1","16","1656","","","","1304","1304","1304","EFOPJNHM_00751","MMPIJKCK_00263"
"group_1739","","hypothetical protein","2","2","1","16","807","","","","275","275","275","EFOPJNHM_02523","MMPIJKCK_01733"
"tuf","","Elongation factor Tu","2","2","1","16","1424","","","","1184","1184","1184","EFOPJNHM_00516","MMPIJKCK_00031"
"rplM","","50S ribosomal protein L13","2","2","1","16","439","","","","437","437","437","EFOPJNHM_02160","MMPIJKCK_01379"
"group_1742","","hypothetical protein","2","2","1","16","755","","","","410","410","410","EFOPJNHM_02471","MMPIJKCK_01680"
"group_1743","","hypothetical protein","2","2","1","16","1344","","","","485","485","485","EFOPJNHM_00416","MMPIJKCK_02235"
"group_1744","","putative tautomerase","2","2","1","16","2239","","","","188","188","188","EFOPJNHM_01258","MMPIJKCK_00816"
"polA","","DNA polymerase I","2","2","1","16","1876","","","","2630","2630","2630","EFOPJNHM_01631","MMPIJKCK_01133"
"isaB","","Immunodominant staphylococcal antigen B","2","2","1","16","856","","","","527","527","527","EFOPJNHM_02572","MMPIJKCK_01781"
"group_1747","","hypothetical protein","2","2","1","16","1894","","","","815","815","815","EFOPJNHM_01613","MMPIJKCK_01115"
"group_1748","","hypothetical protein","2","2","1","16","2480","","","","1223","1223","1223","EFOPJNHM_01775","MMPIJKCK_01282"
"group_1749","","hypothetical protein","2","2","1","16","1939","","","","260","260","260","EFOPJNHM_01569","MMPIJKCK_01070"
"MroQ","","Membrane-embedded CAAX protease MroQ","2","2","1","16","2711","","","","743","743","743","EFOPJNHM_01977","MMPIJKCK_02411"
"queH","","Epoxyqueuosine reductase QueH","2","2","1","16","808","","","","722","722","722","EFOPJNHM_02524","MMPIJKCK_01734"
"group_1752","","putative protein","2","2","1","16","2029","","","","362","362","362","EFOPJNHM_01481","MMPIJKCK_00981"
"group_1753","","hypothetical protein","2","2","1","16","1859","","","","689","689","689","EFOPJNHM_01648","MMPIJKCK_01149"
"group_1754","","hypothetical protein","2","2","1","16","1570","","","","287","287","287","EFOPJNHM_00663","MMPIJKCK_00176"
"group_1755","","Acetyltransferase","2","2","1","16","1560","","","","542","542","542","EFOPJNHM_00653","MMPIJKCK_00166"
"group_1756","","hypothetical protein","2","2","1","16","2221","","","","287","287","287","EFOPJNHM_01240","MMPIJKCK_00798"
"group_1757","yfiZ_1","putative siderophore transport system permease protein YfiZ","2","2","1","16","402","","","","1031","1031","1031","EFOPJNHM_02129","MMPIJKCK_01343"
"rplY","","50S ribosomal protein L25","2","2","1","16","1377","","","","653","653","653","EFOPJNHM_00453","MMPIJKCK_02564"
"nagB_1","","Glucosamine-6-phosphate deaminase","2","2","1","16","1446","","","","758","758","758","EFOPJNHM_00537","MMPIJKCK_00051"
"group_1760","","Putative threonylcarbamoyl-AMP synthase","2","2","1","16","2841","","","","641","641","641","EFOPJNHM_00873","MMPIJKCK_00435"
"group_1761","","hypothetical protein","2","2","1","16","1695","","","","203","203","203","EFOPJNHM_00790","MMPIJKCK_00285"
"pepT_1","","Peptidase T","2","2","1","16","1623","","","","1226","1226","1226","EFOPJNHM_00717","MMPIJKCK_00229"
"mtnN","","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","2","2","1","16","1957","","","","686","686","686","EFOPJNHM_01552","MMPIJKCK_01052"
"hdl IVa","","(S)-2-haloacid dehalogenase 4A","2","2","1","16","1495","","","","719","719","719","EFOPJNHM_00588","MMPIJKCK_00101"
"tagU_2","","Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU","2","2","1","16","529","","","","947","947","947","EFOPJNHM_02250","MMPIJKCK_01469"
"group_1766","","hypothetical protein","2","2","1","16","1696","","","","236","236","236","EFOPJNHM_00791","MMPIJKCK_00286"
"msrA2","","Peptide methionine sulfoxide reductase MsrA 2","2","2","1","16","2299","","","","533","533","533","EFOPJNHM_01319","MMPIJKCK_00875"
"group_1768","","hypothetical protein","2","2","1","16","932","","","","236","236","236","EFOPJNHM_00003","MMPIJKCK_01857"
"dnaA","","Chromosomal replication initiator protein DnaA","2","2","1","16","930","","","","1361","1361","1361","EFOPJNHM_00001","MMPIJKCK_01855"
"mvaA","","3-hydroxy-3-methylglutaryl-coenzyme A reductase","2","2","1","16","763","","","","1280","1280","1280","EFOPJNHM_02479","MMPIJKCK_01688"
"rpmG2_2","","50S ribosomal protein L33 2","2","2","1","16","2004","","","","149","149","149","EFOPJNHM_01505","MMPIJKCK_01005"
"group_1772","","hypothetical protein","2","2","1","16","2106","","","","332","332","332","EFOPJNHM_01128","MMPIJKCK_00684"
