locus_tag	ftype	length_bp	gene	EC_number	COG	product
GEALKAJD_00712	CDS	1248				hypothetical protein
GEALKAJD_00713	CDS	1746				hypothetical protein
GEALKAJD_00714	CDS	315			COG0718	Nucleoid-associated protein
GEALKAJD_00715	CDS	597	recR		COG0353	Recombination protein RecR
GEALKAJD_00716	CDS	645	tmk	2.7.4.9	COG0125	Thymidylate kinase
GEALKAJD_00717	CDS	330	darA		COG3870	Cyclic di-AMP receptor A
GEALKAJD_00718	CDS	939				hypothetical protein
GEALKAJD_00719	CDS	825				hypothetical protein
GEALKAJD_00720	CDS	348	yabA		COG4467	Initiation-control protein YabA
GEALKAJD_00721	CDS	873	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
GEALKAJD_00722	CDS	1122	dinB_1	2.7.7.7	COG0389	DNA polymerase IV
GEALKAJD_00723	CDS	603				hypothetical protein
GEALKAJD_00724	CDS	2190	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
GEALKAJD_00725	CDS	768	bceA_2		COG1136	Bacitracin export ATP-binding protein BceA
GEALKAJD_00726	CDS	2043	bceB_2		COG0577	Bacitracin export permease protein BceB
GEALKAJD_00727	CDS	150				hypothetical protein
GEALKAJD_00728	CDS	1515	dltA	6.2.1.54	COG1020	D-alanine--D-alanyl carrier protein ligase
GEALKAJD_00729	CDS	1206				hypothetical protein
GEALKAJD_00730	CDS	234	dltC		COG0236	D-alanyl carrier protein
GEALKAJD_00731	CDS	1269	dltD		COG3966	Protein DltD
GEALKAJD_00732	CDS	1083	ysdC	3.4.11.-	COG1363	Putative aminopeptidase YsdC
GEALKAJD_00733	CDS	804				hypothetical protein
GEALKAJD_00734	CDS	741			COG1234	putative protein
GEALKAJD_00735	CDS	1005	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
GEALKAJD_00736	CDS	1845				hypothetical protein
GEALKAJD_00737	CDS	390				hypothetical protein
GEALKAJD_00738	CDS	684	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
GEALKAJD_00739	tRNA	75				tRNA-Arg(tct)
GEALKAJD_00740	CDS	360				hypothetical protein
GEALKAJD_00741	CDS	1632	dauA		COG0659	C4-dicarboxylic acid transporter DauA
GEALKAJD_00742	CDS	642	udg	3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
GEALKAJD_00743	CDS	309	rplU		COG0261	50S ribosomal protein L21
GEALKAJD_00744	CDS	345				hypothetical protein
GEALKAJD_00745	CDS	294	rpmA			50S ribosomal protein L27
GEALKAJD_00746	CDS	2835	dgaR_2			Transcriptional regulatory protein DagR
GEALKAJD_00747	CDS	492	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
GEALKAJD_00748	CDS	990	manX_2	2.7.1.191		PTS system mannose-specific EIIAB component
GEALKAJD_00749	CDS	804	sorA_1		COG3715	PTS system sorbose-specific EIIC component
GEALKAJD_00750	CDS	915	manZ_3		COG3716	PTS system mannose-specific EIID component
GEALKAJD_00751	CDS	375				hypothetical protein
GEALKAJD_00752	CDS	246				hypothetical protein
GEALKAJD_00753	CDS	1065	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
GEALKAJD_00754	CDS	426				putative protein
GEALKAJD_00755	CDS	450	nusB		COG0781	Transcription antitermination protein NusB
GEALKAJD_00756	CDS	855	folD		COG0190	Bifunctional protein FolD protein
GEALKAJD_00757	CDS	1338	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
GEALKAJD_00758	CDS	225	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
GEALKAJD_00759	CDS	891		2.5.1.10		Farnesyl diphosphate synthase
GEALKAJD_00760	CDS	819	tlyA		COG1189	Hemolysin A
GEALKAJD_00761	CDS	450	argR_2		COG1438	Arginine repressor
GEALKAJD_00762	CDS	1683	recN		COG0497	DNA repair protein RecN
GEALKAJD_00763	CDS	117				hypothetical protein
GEALKAJD_00764	CDS	957				hypothetical protein
GEALKAJD_00765	CDS	369				hypothetical protein
GEALKAJD_00766	CDS	432	mraZ			Transcriptional regulator MraZ
GEALKAJD_00767	CDS	960	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
GEALKAJD_00768	CDS	402	ftsL			Cell division protein FtsL
GEALKAJD_00769	CDS	2193	pbpX_1		COG0768	Penicillin-binding protein 2X
GEALKAJD_00770	CDS	963	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
GEALKAJD_00771	CDS	1362	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
GEALKAJD_00772	CDS	1089	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
GEALKAJD_00773	CDS	1221	divIB			Cell division protein DivIB
GEALKAJD_00774	CDS	1326	ftsA		COG0849	Cell division protein FtsA
GEALKAJD_00775	CDS	1242	ftsZ		COG0206	Cell division protein FtsZ
GEALKAJD_00776	CDS	678	yggS		COG0325	Pyridoxal phosphate homeostasis protein
GEALKAJD_00777	CDS	600	sepF			Cell division protein SepF
GEALKAJD_00778	CDS	783				hypothetical protein
GEALKAJD_00779	CDS	708	divIVA		COG3599	Cell division protein DivIVA
GEALKAJD_00780	CDS	2799	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
GEALKAJD_00781	CDS	1527	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
GEALKAJD_00782	CDS	648	dtxR			Diphtheria toxin repressor
GEALKAJD_00783	CDS	342				hypothetical protein
GEALKAJD_00784	CDS	729	sfsA		COG1489	Sugar fermentation stimulation protein A
GEALKAJD_00785	CDS	1014	iolU_1	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
GEALKAJD_00786	CDS	1278	yfmL	3.6.4.13	COG0513	putative ATP-dependent RNA helicase YfmL
GEALKAJD_00787	CDS	2703	dgaR_3			Transcriptional regulatory protein DagR
GEALKAJD_00788	CDS	318	ptcB_2	2.7.1.204	COG1440	PTS system galactose-specific EIIB component
GEALKAJD_00789	CDS	321	licA_2		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
GEALKAJD_00790	CDS	1461	celB		COG1455	PTS system cellobiose-specific EIIC component
GEALKAJD_00791	CDS	222				hypothetical protein
GEALKAJD_00792	CDS	183				hypothetical protein
GEALKAJD_00793	CDS	414				hypothetical protein
GEALKAJD_00794	CDS	1182	eis_1	2.3.1.-		N-acetyltransferase Eis
GEALKAJD_00795	CDS	165				hypothetical protein
GEALKAJD_00796	tRNA	76				tRNA-Arg(cct)
GEALKAJD_00797	CDS	1140	xerC_4			Tyrosine recombinase XerC
GEALKAJD_00798	CDS	585				hypothetical protein
GEALKAJD_00799	CDS	432				hypothetical protein
GEALKAJD_00800	CDS	321				hypothetical protein
GEALKAJD_00801	CDS	141				hypothetical protein
GEALKAJD_00802	CDS	258				hypothetical protein
GEALKAJD_00803	CDS	309				hypothetical protein
GEALKAJD_00804	CDS	747				hypothetical protein
GEALKAJD_00805	CDS	204				hypothetical protein
GEALKAJD_00806	CDS	339				hypothetical protein
GEALKAJD_00807	CDS	180				hypothetical protein
GEALKAJD_00808	CDS	504				hypothetical protein
GEALKAJD_00809	CDS	699				hypothetical protein
GEALKAJD_00810	CDS	342				hypothetical protein
GEALKAJD_00811	CDS	672				hypothetical protein
GEALKAJD_00812	CDS	687				hypothetical protein
GEALKAJD_00813	CDS	750				hypothetical protein
GEALKAJD_00814	CDS	270				hypothetical protein
GEALKAJD_00815	CDS	165				hypothetical protein
GEALKAJD_00816	CDS	303				hypothetical protein
GEALKAJD_00817	CDS	162				hypothetical protein
GEALKAJD_00818	CDS	300				hypothetical protein
GEALKAJD_00819	CDS	357				hypothetical protein
GEALKAJD_00820	CDS	246				hypothetical protein
GEALKAJD_00821	CDS	420				hypothetical protein
GEALKAJD_00822	CDS	558				hypothetical protein
GEALKAJD_00823	CDS	297				hypothetical protein
GEALKAJD_00824	CDS	414				hypothetical protein
GEALKAJD_00825	CDS	153				hypothetical protein
GEALKAJD_00826	CDS	276				hypothetical protein
GEALKAJD_00827	CDS	168				hypothetical protein
GEALKAJD_00828	CDS	345				hypothetical protein
GEALKAJD_00829	CDS	282				hypothetical protein
GEALKAJD_00830	CDS	315				hypothetical protein
GEALKAJD_00831	CDS	1695				hypothetical protein
GEALKAJD_00832	CDS	1179				hypothetical protein
GEALKAJD_00833	CDS	687	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
GEALKAJD_00834	CDS	1161				hypothetical protein
GEALKAJD_00835	CDS	876				hypothetical protein
GEALKAJD_00836	CDS	312				hypothetical protein
GEALKAJD_00837	CDS	354				hypothetical protein
GEALKAJD_00838	CDS	402				hypothetical protein
GEALKAJD_00839	CDS	405				hypothetical protein
GEALKAJD_00840	CDS	609				hypothetical protein
GEALKAJD_00841	CDS	363				hypothetical protein
GEALKAJD_00842	CDS	3432	smc_3			Chromosome partition protein Smc
GEALKAJD_00843	CDS	738				hypothetical protein
GEALKAJD_00844	CDS	2292				hypothetical protein
GEALKAJD_00845	CDS	2127				hypothetical protein
GEALKAJD_00846	CDS	447				hypothetical protein
GEALKAJD_00847	CDS	138				hypothetical protein
GEALKAJD_00848	CDS	294				hypothetical protein
GEALKAJD_00849	CDS	225				hypothetical protein
GEALKAJD_00850	CDS	1026				hypothetical protein
GEALKAJD_00851	tRNA	74				tRNA-Met(cat)
GEALKAJD_00852	CDS	291				IS3 family transposase ISEfa8
GEALKAJD_00853	CDS	837				IS3 family transposase ISEfa8
GEALKAJD_00854	CDS	495				IS3 family transposase ISEnfa3
GEALKAJD_00855	CDS	408				hypothetical protein
GEALKAJD_00856	CDS	402				hypothetical protein
GEALKAJD_00857	CDS	372				hypothetical protein
GEALKAJD_00858	CDS	303				hypothetical protein
GEALKAJD_00859	CDS	1233	pepS	3.4.11.-	COG2309	Aminopeptidase PepS
GEALKAJD_00860	CDS	570				hypothetical protein
GEALKAJD_00861	CDS	441				Flavodoxin
GEALKAJD_00862	CDS	765	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
GEALKAJD_00863	CDS	924				hypothetical protein
GEALKAJD_00864	CDS	1140	tagO	2.7.8.33	COG0472	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase
GEALKAJD_00865	CDS	801				hypothetical protein
GEALKAJD_00866	CDS	828				hypothetical protein
GEALKAJD_00867	CDS	708				hypothetical protein
GEALKAJD_00868	CDS	867	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
GEALKAJD_00869	CDS	573	rfbC_1	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
GEALKAJD_00870	CDS	255	rmlB_1	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
GEALKAJD_00871	CDS	690	rmlB_2	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
GEALKAJD_00872	CDS	852	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
GEALKAJD_00873	CDS	2034				hypothetical protein
GEALKAJD_00874	CDS	1299				hypothetical protein
GEALKAJD_00875	CDS	807	tagG		COG1682	Teichoic acid translocation permease protein TagG
GEALKAJD_00876	CDS	1221	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GEALKAJD_00877	CDS	1587				hypothetical protein
GEALKAJD_00878	CDS	2139	arnC	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
GEALKAJD_00879	CDS	984	nylB	3.5.1.46		6-aminohexanoate-dimer hydrolase
GEALKAJD_00880	CDS	1392				hypothetical protein
GEALKAJD_00881	CDS	1041	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
GEALKAJD_00882	CDS	1086	epsF	2.4.-.-	COG0438	Putative glycosyltransferase EpsF
GEALKAJD_00883	CDS	120				hypothetical protein
GEALKAJD_00884	CDS	963				hypothetical protein
GEALKAJD_00885	CDS	693				hypothetical protein
GEALKAJD_00886	CDS	639				hypothetical protein
GEALKAJD_00887	CDS	1071				hypothetical protein
GEALKAJD_00888	CDS	1422				hypothetical protein
GEALKAJD_00889	CDS	1008	pseB	4.2.1.115	COG1086	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
GEALKAJD_00890	CDS	1005	neuB	2.5.1.101	COG2089	N,N'-diacetyllegionaminic acid synthase
GEALKAJD_00891	CDS	1149		3.2.1.184	COG0381	UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolyzing)
GEALKAJD_00892	CDS	678	epsM	2.3.1.-	COG0110	Putative acetyltransferase EpsM
GEALKAJD_00893	CDS	1143	epsN	2.6.1.-	COG0399	Putative pyridoxal phosphate-dependent aminotransferase EpsN
GEALKAJD_00894	CDS	978				hypothetical protein
GEALKAJD_00895	CDS	909				hypothetical protein
GEALKAJD_00896	CDS	753	legF	2.7.7.82	COG1083	CMP-N,N'-diacetyllegionaminic acid synthase
GEALKAJD_00897	CDS	948	wbgU_1	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
GEALKAJD_00898	CDS	447				ISL3 family transposase IS1251
GEALKAJD_00899	CDS	747				ISL3 family transposase IS1251
GEALKAJD_00900	CDS	195				hypothetical protein
GEALKAJD_00901	CDS	366				hypothetical protein
GEALKAJD_00902	CDS	1548				IS66 family transposase ISRob1
GEALKAJD_00903	CDS	954			COG2826	IS30 family transposase IS1252
GEALKAJD_00904	CDS	654				ISL3 family transposase ISEfa11
GEALKAJD_00905	CDS	1623				hypothetical protein
GEALKAJD_00906	CDS	1170	pbpX_2		COG1680	Putative penicillin-binding protein PbpX
GEALKAJD_00907	CDS	1176	mltG	4.2.2.-		Endolytic murein transglycosylase
GEALKAJD_00908	CDS	480	greA		COG0782	Transcription elongation factor GreA
GEALKAJD_00909	CDS	732				hypothetical protein
GEALKAJD_00910	CDS	1068	liaS	2.7.13.3	COG4585	Sensor histidine kinase LiaS
GEALKAJD_00911	CDS	633	vraR			Response regulator protein VraR
GEALKAJD_00912	CDS	666	ktrA		COG0569	Ktr system potassium uptake protein A
GEALKAJD_00913	CDS	294				hypothetical protein
GEALKAJD_00914	CDS	948	ghrB_1	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
GEALKAJD_00915	CDS	804				hypothetical protein
GEALKAJD_00916	CDS	900	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
GEALKAJD_00917	CDS	471				hypothetical protein
GEALKAJD_00918	CDS	609	sodA	1.15.1.1		Superoxide dismutase [Mn]
GEALKAJD_00919	CDS	201	cspD		COG1278	Cold shock protein CspD
GEALKAJD_00920	CDS	1227	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
GEALKAJD_00921	CDS	471	crtK-2		COG3476	Tryptophan-rich protein TspO
GEALKAJD_00922	CDS	579		1.14.99.53	COG3397	Lytic chitin monooxygenase
GEALKAJD_00923	CDS	1383	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
GEALKAJD_00924	CDS	798	recX			Regulatory protein RecX
GEALKAJD_00925	CDS	1179	mutY	3.2.2.31		Adenine DNA glycosylase
GEALKAJD_00926	CDS	534				hypothetical protein
GEALKAJD_00927	CDS	435		2.3.1.-		Acetyltransferase
GEALKAJD_00928	CDS	1119	yhhT		COG0628	Putative transport protein YhhT
GEALKAJD_00929	CDS	1377				hypothetical protein
GEALKAJD_00930	CDS	1581	prfC			Peptide chain release factor 3
GEALKAJD_00931	CDS	225				hypothetical protein
GEALKAJD_00932	CDS	213				hypothetical protein
GEALKAJD_00933	CDS	2097	clpE		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpE
GEALKAJD_00934	CDS	267	ptsH		COG1925	Phosphocarrier protein HPr
GEALKAJD_00935	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
GEALKAJD_00936	CDS	1047	dgs	2.4.1.208	COG0438	Processive diacylglycerol alpha-glucosyltransferase
GEALKAJD_00937	CDS	1224		2.4.1.337	COG0438	Alpha-monoglucosyldiacylglycerol synthase
GEALKAJD_00938	CDS	888	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
GEALKAJD_00939	CDS	231	ykuJ		COG4703	putative protein YkuJ
GEALKAJD_00940	CDS	966	uvrC_1			UvrABC system protein C
GEALKAJD_00941	CDS	441				hypothetical protein
GEALKAJD_00942	CDS	963	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
GEALKAJD_00943	CDS	225	acpA		COG0236	Acyl carrier protein
GEALKAJD_00944	CDS	918	fabD_2	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
GEALKAJD_00945	CDS	738	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
GEALKAJD_00946	CDS	1236	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
GEALKAJD_00947	CDS	477	accB			Biotin carboxyl carrier protein of acetyl-CoA carboxylase
GEALKAJD_00948	CDS	420	fabZ_1	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
GEALKAJD_00949	CDS	1380	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
GEALKAJD_00950	CDS	870	accD_2	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
GEALKAJD_00951	CDS	786	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
GEALKAJD_00952	CDS	528				hypothetical protein
GEALKAJD_00953	CDS	1110	yqeH		COG1161	putative protein YqeH
GEALKAJD_00954	CDS	312			COG1534	RNA-binding protein
GEALKAJD_00955	CDS	651	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
GEALKAJD_00956	CDS	594				hypothetical protein
GEALKAJD_00957	CDS	261	rsfS		COG0799	Ribosomal silencing factor RsfS
GEALKAJD_00958	CDS	741	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
GEALKAJD_00959	CDS	1152	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
GEALKAJD_00960	CDS	720	yeeN		COG0217	putative transcriptional regulatory protein YeeN
GEALKAJD_00961	CDS	648				hypothetical protein
GEALKAJD_00962	CDS	2280	helD_2	3.6.4.12	COG3973	DNA helicase IV
GEALKAJD_00963	CDS	1824	ziaA	7.2.2.12		Zinc-transporting ATPase
GEALKAJD_00964	CDS	180		5.3.2.-		putative tautomerase
GEALKAJD_00965	CDS	1941	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
GEALKAJD_00966	CDS	849	ybbH_1		COG1737	putative HTH-type transcriptional regulator YbbH
GEALKAJD_00967	CDS	2154	penA		COG0768	Penicillin-binding protein 2B
GEALKAJD_00968	CDS	1296				ISL3 family transposase IS1251
GEALKAJD_00969	CDS	810	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
GEALKAJD_00970	CDS	1545	pbuO		COG2252	Guanine/hypoxanthine permease PbuO
GEALKAJD_00971	CDS	1197	sbnD_2			Staphyloferrin B transporter
GEALKAJD_00972	CDS	186				hypothetical protein
GEALKAJD_00973	CDS	3315	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
GEALKAJD_00974	CDS	963	pfkA	2.7.1.11		ATP-dependent 6-phosphofructokinase
GEALKAJD_00975	CDS	1785	pyk	2.7.1.40	COG0469	Pyruvate kinase
GEALKAJD_00976	CDS	804	gltC_2			HTH-type transcriptional regulator GltC
GEALKAJD_00977	CDS	570				hypothetical protein
GEALKAJD_00978	CDS	180	rpmF			50S ribosomal protein L32
GEALKAJD_00979	CDS	1422	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
GEALKAJD_00980	CDS	687	arlR_1		COG0745	Response regulator ArlR
GEALKAJD_00981	CDS	1506	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
GEALKAJD_00982	rRNA	1558				16S ribosomal RNA
GEALKAJD_00983	tRNA	73				tRNA-Ala(tgc)
GEALKAJD_00984	rRNA	2911				23S ribosomal RNA
GEALKAJD_00985	rRNA	111				5S ribosomal RNA
GEALKAJD_00986	tRNA	76				tRNA-Asn(gtt)
GEALKAJD_00987	tRNA	92				tRNA-Ser(gga)
GEALKAJD_00988	tRNA	74				tRNA-Glu(ttc)
GEALKAJD_00989	tRNA	75				tRNA-Val(tac)
GEALKAJD_00990	tRNA	76				tRNA-Asp(gtc)
GEALKAJD_00991	tRNA	76				tRNA-Phe(gaa)
GEALKAJD_00992	tRNA	83				tRNA-Tyr(gta)
GEALKAJD_00993	tRNA	74				tRNA-Trp(cca)
GEALKAJD_00994	tRNA	74				tRNA-His(gtg)
GEALKAJD_00995	tRNA	74				tRNA-Gln(ttg)
GEALKAJD_00996	tRNA	71				tRNA-Cys(gca)
GEALKAJD_00997	tRNA	87				tRNA-Leu(caa)
GEALKAJD_00998	tRNA	74				tRNA-His(gtg)
GEALKAJD_00999	tRNA	74				tRNA-Gln(ttg)
GEALKAJD_01000	tRNA	87				tRNA-Leu(caa)
GEALKAJD_01001	CDS	876	licT_2		COG3711	Transcription antiterminator LicT
GEALKAJD_01002	CDS	765		3.5.1.-	COG3394	Carbohydrate deacetylase
GEALKAJD_01003	CDS	1413	gamP		COG2190	Putative PTS system glucosamine-specific EIICBA component
GEALKAJD_01004	CDS	1326	malH	3.2.1.122	COG1486	Maltose-6'-phosphate glucosidase MalH
GEALKAJD_01005	CDS	459	ptsG_2	2.7.1.199		PTS system glucose-specific EIICBA component
GEALKAJD_01006	CDS	1302	licC_2		COG1455	Lichenan permease IIC component
GEALKAJD_01007	CDS	261				hypothetical protein
GEALKAJD_01008	CDS	1236				hypothetical protein
GEALKAJD_01009	CDS	828				hypothetical protein
GEALKAJD_01010	CDS	771	srlR		COG1349	Glucitol operon repressor
GEALKAJD_01011	CDS	1068	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
GEALKAJD_01012	CDS	462				hypothetical protein
GEALKAJD_01013	CDS	1485	ulaA_2		COG3037	Ascorbate-specific PTS system EIIC component
GEALKAJD_01014	CDS	300				hypothetical protein
GEALKAJD_01015	CDS	639	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
GEALKAJD_01016	CDS	861	ulaE	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
GEALKAJD_01017	CDS	711	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
GEALKAJD_01018	CDS	435				hypothetical protein
GEALKAJD_01019	CDS	300				hypothetical protein
GEALKAJD_01020	CDS	195				hypothetical protein
GEALKAJD_01021	CDS	954			COG2826	IS30 family transposase IS1252
GEALKAJD_01022	CDS	1863				hypothetical protein
GEALKAJD_01023	CDS	333				hypothetical protein
GEALKAJD_01024	CDS	1251				IS110 family transposase ISSpn10
GEALKAJD_01025	CDS	357				hypothetical protein
GEALKAJD_01026	CDS	351				hypothetical protein
GEALKAJD_01027	CDS	780				hypothetical protein
GEALKAJD_01028	CDS	678				hypothetical protein
GEALKAJD_01029	CDS	1107		3.1.1.-	COG3964	Deacetylase
GEALKAJD_01030	CDS	1092	dgaE	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
GEALKAJD_01031	CDS	741	dgaF	4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
GEALKAJD_01032	CDS	1941	manP		COG1299	PTS system mannose-specific EIIBCA component
GEALKAJD_01033	CDS	1923	manR		COG1762	Transcriptional regulator ManR
GEALKAJD_01034	CDS	423	arsC	1.20.4.4	COG0394	Arsenate reductase
GEALKAJD_01035	CDS	1023				hypothetical protein
GEALKAJD_01036	CDS	435			COG0789	putative HTH-type transcriptional regulator
GEALKAJD_01037	CDS	975			COG1073	putative protein
GEALKAJD_01038	CDS	954	lacC_1	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
GEALKAJD_01039	CDS	792	lacR_2			Lactose phosphotransferase system repressor
GEALKAJD_01040	CDS	459	gatA_1		COG1762	PTS system galactitol-specific EIIA component
GEALKAJD_01041	CDS	300				hypothetical protein
GEALKAJD_01042	CDS	1362	gatC_1		COG3775	PTS system galactitol-specific EIIC component
GEALKAJD_01043	CDS	261				hypothetical protein
GEALKAJD_01044	CDS	753	mtnB	4.2.1.109		Methylthioribulose-1-phosphate dehydratase
GEALKAJD_01045	CDS	606	mhqD	3.1.-.-	COG0400	Putative hydrolase MhqD
GEALKAJD_01046	CDS	975	mhqA	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqA
GEALKAJD_01047	CDS	720	gmuR		COG2188	HTH-type transcriptional regulator GmuR
GEALKAJD_01048	CDS	1272	gmuC_2		COG1455	PTS system oligo-beta-mannoside-specific EIIC component
GEALKAJD_01049	CDS	1398	gmuD_3	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
GEALKAJD_01050	CDS	441				Putative universal stress protein
GEALKAJD_01051	CDS	327				hypothetical protein
GEALKAJD_01052	CDS	750				hypothetical protein
GEALKAJD_01053	CDS	456	spxA_3		COG1393	Regulatory protein Spx
GEALKAJD_01054	CDS	276				hypothetical protein
GEALKAJD_01055	CDS	816	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
GEALKAJD_01056	CDS	1452	clsA_1	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
GEALKAJD_01057	CDS	2667		7.2.2.10	COG0474	Calcium-transporting ATPase
GEALKAJD_01058	CDS	753				hypothetical protein
GEALKAJD_01059	CDS	1155	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
GEALKAJD_01060	CDS	2442	fadA	2.3.1.16		3-ketoacyl-CoA thiolase
GEALKAJD_01061	CDS	705				hypothetical protein
GEALKAJD_01062	CDS	246				hypothetical protein
GEALKAJD_01063	CDS	852	yvgN	1.1.1.-	COG0656	Glyoxal reductase
GEALKAJD_01064	CDS	555				hypothetical protein
GEALKAJD_01065	CDS	417				hypothetical protein
GEALKAJD_01066	CDS	1296				ISL3 family transposase IS1251
GEALKAJD_01067	CDS	357				hypothetical protein
GEALKAJD_01068	CDS	1188	tuf_2			Elongation factor Tu
GEALKAJD_01069	CDS	2592	mprF_1	2.3.2.3		Phosphatidylglycerol lysyltransferase
GEALKAJD_01070	CDS	720	ydjP	3.-.-.-	COG0596	AB hydrolase superfamily protein YdjP
GEALKAJD_01071	CDS	633				hypothetical protein
GEALKAJD_01072	CDS	861				hypothetical protein
GEALKAJD_01073	CDS	2316	ctpE_1	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
GEALKAJD_01074	CDS	1842	dnaG	2.7.7.-	COG0358	DNA primase
GEALKAJD_01075	CDS	1110	sigA		COG0568	RNA polymerase sigma factor SigA
GEALKAJD_01076	CDS	2103	mapZ			Mid-cell-anchored protein Z
GEALKAJD_01077	CDS	864	cvfB			Conserved virulence factor B
GEALKAJD_01078	CDS	468	fur		COG0735	Ferric uptake regulation protein
GEALKAJD_01079	CDS	171				hypothetical protein
GEALKAJD_01080	CDS	888	xerD			Tyrosine recombinase XerD
GEALKAJD_01081	CDS	372	ribT	2.3.1.-		Protein RibT
GEALKAJD_01082	CDS	798	scpA		COG1354	Segregation and condensation protein A
GEALKAJD_01083	CDS	570	scpB			Segregation and condensation protein B
