"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Enterococcus_faecium_strain1","Enterococcus_faecium_strain2"
"oatA","","O-acetyltransferase OatA","2","2","1","7","2419","","","","1883","1901","1892","PCFFDBNJ_01938","GEALKAJD_02360"
"group_3525","","putative ABC transporter ATP-binding protein","2","2","1","7","582","","","","1760","1760","1760","PCFFDBNJ_01584","GEALKAJD_02113"
"yteP","","putative multiple-sugar transport system permease YteP","2","2","1","7","2486","","","","947","947","947","PCFFDBNJ_02705","GEALKAJD_02435"
"group_3527","","hypothetical protein","2","2","1","7","3727","","","","230","230","230","PCFFDBNJ_00315","GEALKAJD_01985"
"punA","","Purine nucleoside phosphorylase 1","2","2","1","7","2820","","","","818","818","818","PCFFDBNJ_01677","GEALKAJD_00047"
"group_3529","","putative ABC transporter ATP-binding protein","2","2","1","7","3100","","","","701","701","701","PCFFDBNJ_02344","GEALKAJD_00437"
"group_353","","hypothetical protein","2","2","1","7","1998","","","","284","284","284","PCFFDBNJ_00913","GEALKAJD_01362"
"group_3530","","hypothetical protein","2","2","1","7","2223","","","","230","233","231","PCFFDBNJ_02438","GEALKAJD_00503"
"sepF","","Cell division protein SepF","2","2","1","7","623","","","","599","599","599","PCFFDBNJ_01486","GEALKAJD_00777"
"rmlD","","dTDP-4-dehydrorhamnose reductase","2","2","1","7","1227","","","","851","851","851","PCFFDBNJ_01390","GEALKAJD_00872"
"aspS","","Aspartate--tRNA ligase","2","2","1","7","2421","","","","1769","1769","1769","PCFFDBNJ_01936","GEALKAJD_02362"
"azoR","","FMN-dependent NADH-azoreductase","2","2","1","7","431","","","","620","620","620","PCFFDBNJ_02055","GEALKAJD_02255"
"gatA","","Glutamyl-tRNA(Gln) amidotransferase subunit A","2","2","1","7","2555","","","","1472","1472","1472","PCFFDBNJ_00647","GEALKAJD_01571"
"murA1_1","","UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1","2","2","1","7","3728","","","","1301","1301","1301","PCFFDBNJ_00316","GEALKAJD_01984"
"group_3537","","hypothetical protein","2","2","1","7","1882","","","","482","482","482","PCFFDBNJ_01026","GEALKAJD_01257"
"group_3538","","putative zinc-binding alcohol dehydrogenase","2","2","1","7","2199","","","","1133","1133","1133","PCFFDBNJ_02461","GEALKAJD_00320"
"group_3539","","hypothetical protein","2","2","1","7","1496","","","","245","245","245","PCFFDBNJ_00800","GEALKAJD_01468"
"group_354","","hypothetical protein","2","2","1","7","1996","","","","2015","2015","2015","PCFFDBNJ_00915","GEALKAJD_01360"
"group_3540","","hypothetical protein","2","2","1","7","2648","","","","515","515","515","PCFFDBNJ_02258","GEALKAJD_02560"
"yidA_1","","Sugar phosphatase YidA","2","2","1","7","759","","","","809","809","809","PCFFDBNJ_00282","GEALKAJD_02019"
"mutS_1","","DNA mismatch repair protein MutS","2","2","1","7","2917","","","","2645","2645","2645","PCFFDBNJ_01776","GEALKAJD_00138"
"group_3543","","hypothetical protein","2","2","1","7","2876","","","","1781","1781","1781","PCFFDBNJ_01732","GEALKAJD_00102"
"xylH","","Xylose transport system permease protein XylH","2","2","1","7","1814","","","","1205","1205","1205","PCFFDBNJ_01086","GEALKAJD_01205"
"group_3545","","hypothetical protein","2","2","1","7","1152","","","","533","533","533","PCFFDBNJ_01344","GEALKAJD_00926"
"acyP","","Acylphosphatase","2","2","1","7","3674","","","","275","275","275","PCFFDBNJ_00418","GEALKAJD_01860"
"mfd","","Transcription-repair-coupling factor","2","2","1","7","2585","","","","3521","3521","3521","PCFFDBNJ_02319","GEALKAJD_02498"
"group_3548","","hypothetical protein","2","2","1","7","1980","","","","881","881","881","PCFFDBNJ_00931","GEALKAJD_01346"
"artM_1","","Arginine transport ATP-binding protein ArtM","2","2","1","7","2936","","","","740","740","740","PCFFDBNJ_01791","GEALKAJD_00154"
"group_355","","hypothetical protein","2","2","1","7","1988","","","","398","398","398","PCFFDBNJ_00923","GEALKAJD_01355"
"zupT","","Zinc transporter ZupT","2","2","1","7","2777","","","","818","818","818","PCFFDBNJ_01642","GEALKAJD_00018"
"recF","","DNA replication and repair protein RecF","2","2","1","7","2763","","","","1124","1124","1124","PCFFDBNJ_01628","GEALKAJD_00004"
"xerC_5","","Tyrosine recombinase XerC","2","2","1","7","1733","","","","905","905","905","PCFFDBNJ_01162","GEALKAJD_01125"
"group_3555","","hypothetical protein","2","2","1","7","2220","","","","1076","1085","1080","PCFFDBNJ_02441","GEALKAJD_00339"
"cinA","","Putative competence-damage inducible protein","2","2","1","7","2624","","","","1241","1241","1241","PCFFDBNJ_02281","GEALKAJD_02536"
"rhaD","","Rhamnulose-1-phosphate aldolase","2","2","1","7","3005","","","","845","845","845","PCFFDBNJ_01862","GEALKAJD_00214"
"xerD_2","","Tyrosine recombinase XerD","2","2","1","7","1684","","","","887","887","887","PCFFDBNJ_01205","GEALKAJD_01080"
"rhaS_2","","HTH-type transcriptional activator RhaS","2","2","1","7","2250","","","","905","905","905","PCFFDBNJ_00024","GEALKAJD_00478"
"aroE","","Shikimate dehydrogenase (NADP(+))","2","2","1","7","1982","","","","854","854","854","PCFFDBNJ_00929","GEALKAJD_01348"
"licH","","putative 6-phospho-beta-glucosidase","2","2","1","7","3786","","","","1403","1403","1403","PCFFDBNJ_00372","GEALKAJD_01930"
"ysdC","","Putative aminopeptidase YsdC","2","2","1","7","668","","","","1082","1082","1082","PCFFDBNJ_01531","GEALKAJD_00732"
"group_3562","","hypothetical protein","2","2","1","7","2023","","","","1286","1286","1286","PCFFDBNJ_00102","GEALKAJD_00555"
"group_3563","","hypothetical protein","2","2","1","7","1916","","","","251","251","251","PCFFDBNJ_00992","GEALKAJD_01291"
"tsaE","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","2","2","1","7","874","","","","473","473","473","PCFFDBNJ_00198","GEALKAJD_00657"
"group_3565","","hypothetical protein","2","2","1","7","2948","","","","266","266","266","PCFFDBNJ_01802","GEALKAJD_00164"
"xylB_2","","Xylulose kinase","2","2","1","7","2701","","","","1538","1538","1538","PCFFDBNJ_02208","GEALKAJD_02594"
"group_3567","","Calcium-transporting ATPase 1","2","2","1","7","2990","","","","2639","2639","2639","PCFFDBNJ_01847","GEALKAJD_00200"
"purH","","Bifunctional purine biosynthesis protein PurH","2","2","1","7","1805","","","","1535","1535","1535","PCFFDBNJ_01095","GEALKAJD_01197"
"ltaS1_1","","Lipoteichoic acid synthase 1","2","2","1","7","916","","","","2093","2093","2093","PCFFDBNJ_00159","GEALKAJD_00618"
"group_357","","hypothetical protein","2","2","1","7","1979","","","","1049","1049","1049","PCFFDBNJ_00932","GEALKAJD_01345"
"deoD","","Purine nucleoside phosphorylase DeoD-type","2","2","1","7","2821","","","","707","707","707","PCFFDBNJ_01678","GEALKAJD_00048"
"ruvB","","Holliday junction ATP-dependent DNA helicase RuvB","2","2","1","7","2925","","","","1001","1001","1001","PCFFDBNJ_01783","GEALKAJD_00146"
"group_3572","","hypothetical protein","2","2","1","7","2038","","","","560","560","560","PCFFDBNJ_00087","GEALKAJD_00540"
"fabD_2","","Malonyl CoA-acyl carrier protein transacylase","2","2","1","7","2215","","","","911","911","911","PCFFDBNJ_02446","GEALKAJD_00334"
"group_3574","","hypothetical protein","2","2","1","7","2239","","","","608","608","608","PCFFDBNJ_00034","GEALKAJD_00488"
"priA","","primosomal protein N'","2","2","1","7","2604","","","","2408","2408","2408","PCFFDBNJ_02301","GEALKAJD_02516"
"ybeY","","Endoribonuclease YbeY","2","2","1","7","3713","","","","461","461","461","PCFFDBNJ_00385","GEALKAJD_01917"
"group_3577","","Aspartate racemase","2","2","1","7","3473","","","","731","731","731","PCFFDBNJ_00616","GEALKAJD_01606"
"pstB3_2","","Phosphate import ATP-binding protein PstB 3","2","2","1","7","3753","","","","806","806","806","PCFFDBNJ_00340","GEALKAJD_01959"
"kdgK","","2-dehydro-3-deoxygluconokinase","2","2","1","7","3010","","","","1007","1007","1007","PCFFDBNJ_01867","GEALKAJD_00219"
"rqcH","","Rqc2 RqcH","2","2","1","7","1976","","","","1706","1706","1706","PCFFDBNJ_00934","GEALKAJD_01342"
"veg","","Protein Veg","2","2","1","7","2631","","","","245","245","245","PCFFDBNJ_02274","GEALKAJD_02543"
"group_3581","","hypothetical protein","2","2","1","7","903","","","","443","443","443","PCFFDBNJ_00170","GEALKAJD_00629"
"gspA_2","","General stress protein A","2","2","1","7","1501","","","","857","857","857","PCFFDBNJ_00806","GEALKAJD_01462"
"fbp","","Fructose-1,6-bisphosphatase class 3","2","2","1","7","779","","","","1898","1898","1898","PCFFDBNJ_00264","GEALKAJD_02037"
"metQ_1","","Methionine-binding lipoprotein MetQ","2","2","1","7","2025","","","","848","848","848","PCFFDBNJ_00100","GEALKAJD_00553"
"group_3585","","putative ABC transporter ATP-binding protein","2","2","1","7","2567","","","","1769","1769","1769","PCFFDBNJ_02688","GEALKAJD_02459"
"zapA","","Cell division protein ZapA","2","2","1","7","786","","","","437","437","437","PCFFDBNJ_00257","GEALKAJD_02044"
"iscU","","Iron-sulfur cluster assembly scaffold protein IscU","2","2","1","7","2021","","","","470","470","470","PCFFDBNJ_00104","GEALKAJD_00557"
"group_3588","","hypothetical protein","2","2","1","7","1035","","","","260","260","260","PCFFDBNJ_01241","GEALKAJD_01043"
"group_3589","","hypothetical protein","2","2","1","7","289","","","","3149","3149","3149","PCFFDBNJ_02520","GEALKAJD_00583"
"pyrE","","Orotate phosphoribosyltransferase","2","2","1","7","1970","","","","629","1352","990","PCFFDBNJ_00946","GEALKAJD_01338"
"group_3590","","hypothetical protein","2","2","1","7","691","","","","797","797","797","PCFFDBNJ_01553","GEALKAJD_00710"
"purS","","Phosphoribosylformylglycinamidine synthase subunit PurS","2","2","1","7","1799","","","","254","254","254","PCFFDBNJ_01101","GEALKAJD_01191"
"group_3592","","hypothetical protein","2","2","1","7","1785","","","","683","689","686","PCFFDBNJ_01114","GEALKAJD_01178"
"mreC","","Cell shape-determining protein MreC","2","2","1","7","2595","","","","854","854","854","PCFFDBNJ_02310","GEALKAJD_02507"
"group_3596","","hypothetical protein","2","2","1","7","2718","","","","968","968","968","PCFFDBNJ_02202","GEALKAJD_02610"
"group_3597","gspA_1","General stress protein A","2","2","1","7","1502","","","","902","902","902","PCFFDBNJ_00807","GEALKAJD_01461"
"cysL","","HTH-type transcriptional regulator CysL","2","2","1","7","2031","","","","842","845","843","PCFFDBNJ_00094","GEALKAJD_00547"
"copZ","","Copper chaperone CopZ","2","2","1","7","3648","","","","209","209","209","PCFFDBNJ_00442","GEALKAJD_01834"
"rluD_1","","Ribosomal large subunit pseudouridine synthase D","2","2","1","7","1960","","","","911","911","911","PCFFDBNJ_00955","GEALKAJD_01328"
"ftsX","","Cell division protein FtsX","2","2","1","7","3748","","","","893","893","893","PCFFDBNJ_00335","GEALKAJD_01964"
"group_3601","","hypothetical protein","2","2","1","7","1100","","","","569","569","569","PCFFDBNJ_01294","GEALKAJD_00977"
"xseA","","Exodeoxyribonuclease 7 large subunit","2","2","1","7","643","","","","1337","1337","1337","PCFFDBNJ_01506","GEALKAJD_00757"
"pyrC","","Dihydroorotase","2","2","1","7","1964","","","","1280","1280","1280","PCFFDBNJ_00951","GEALKAJD_01332"
"group_3604","","hypothetical protein","2","2","1","7","1898","","","","500","500","500","PCFFDBNJ_01010","GEALKAJD_01273"
"pncB2","","Nicotinate phosphoribosyltransferase pncB2","2","2","1","7","407","","","","1472","1472","1472","PCFFDBNJ_02033","GEALKAJD_02277"
"group_3606","","hypothetical protein","2","2","1","7","3434","","","","251","251","251","PCFFDBNJ_00469","GEALKAJD_01788"
"group_3607","","hypothetical protein","2","2","1","7","648","","","","245","245","245","PCFFDBNJ_01511","GEALKAJD_00752"
"ribF","","Bifunctional riboflavin kinase/FMN adenylyltransferase","2","2","1","7","3505","","","","941","941","941","PCFFDBNJ_00590","GEALKAJD_01627"
"ltaS1_2","","Lipoteichoic acid synthase 1","2","2","1","7","3601","","","","2120","2120","2120","PCFFDBNJ_00505","GEALKAJD_01703"
"lspA","","Lipoprotein signal peptidase","2","2","1","7","1959","","","","464","464","464","PCFFDBNJ_00956","GEALKAJD_01327"
"yjhB","","Putative metabolite transport protein YjhB","2","2","1","7","3417","","","","1193","1193","1193","PCFFDBNJ_00485","GEALKAJD_01726"
"parE","","DNA topoisomerase 4 subunit B","2","2","1","7","1740","","","","2045","2045","2045","PCFFDBNJ_01155","GEALKAJD_01132"
"group_3612","","Putative universal stress protein","2","2","1","7","1869","","","","434","434","434","PCFFDBNJ_01038","GEALKAJD_01245"
"glpO","","Alpha-glycerophosphate oxidase","2","2","1","7","2101","","","","1823","1823","1823","PCFFDBNJ_02416","GEALKAJD_00370"
"sbnD_1","","Staphyloferrin B transporter","2","2","1","7","2039","","","","1292","1292","1292","PCFFDBNJ_00086","GEALKAJD_00539"
"fabG_2","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","2","2","1","7","1132","","","","737","737","737","PCFFDBNJ_01325","GEALKAJD_00945"
"ohrA","","Organic hydroperoxide resistance protein OhrA","2","2","1","7","1558","","","","410","410","410","PCFFDBNJ_00855","GEALKAJD_01417"
"steT_2","","Serine/threonine exchanger SteT","2","2","1","7","499","","","","1322","1322","1322","PCFFDBNJ_02114","GEALKAJD_02194"
"smpB","","SsrA-binding protein","2","2","1","7","733","","","","464","464","464","PCFFDBNJ_00306","GEALKAJD_01994"
"araN_1","","putative arabinose-binding protein","2","2","1","7","2083","","","","1334","1334","1334","PCFFDBNJ_00050","GEALKAJD_00508"
"group_362","","hypothetical protein","2","2","1","7","1957","","","","386","386","386","PCFFDBNJ_00958","GEALKAJD_01325"
"group_3620","","hypothetical protein","2","2","1","7","776","","","","2003","2003","2003","PCFFDBNJ_00267","GEALKAJD_02034"
"agrB","","Accessory gene regulator protein B","2","2","1","7","3108","","","","602","602","602","PCFFDBNJ_02336","GEALKAJD_00445"
"potD","","Spermidine/putrescine-binding periplasmic protein","2","2","1","7","851","","","","1073","1073","1073","PCFFDBNJ_00219","GEALKAJD_00678"
"group_3623","","hypothetical protein","2","2","1","7","3671","","","","503","503","503","PCFFDBNJ_00420","GEALKAJD_01857"
"group_3624","accD_1","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic","2","2","1","7","2218","","","","1676","1676","1676","PCFFDBNJ_02443","GEALKAJD_00337"
"group_3625","","hypothetical protein","2","2","1","7","1115","","","","647","647","647","PCFFDBNJ_01309","GEALKAJD_00961"
"gpsA_2","","Glycerol-3-phosphate dehydrogenase [NAD(P)+]","2","2","1","7","520","","","","1019","1019","1019","PCFFDBNJ_02137","GEALKAJD_02176"
"group_3627","","Putative TrmH family tRNA/rRNA methyltransferase","2","2","1","7","2634","","","","860","860","860","PCFFDBNJ_02271","GEALKAJD_02546"
"araR_1","","Arabinose metabolism transcriptional repressor","2","2","1","7","418","","","","1079","1079","1079","PCFFDBNJ_02043","GEALKAJD_02267"
"mtnN","","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","2","2","1","7","2058","","","","692","692","692","PCFFDBNJ_00068","GEALKAJD_00526"
"fhs1","","Formate--tetrahydrofolate ligase 1","2","2","1","7","1956","","","","1670","1670","1670","PCFFDBNJ_00959","GEALKAJD_01324"
"ywpJ_1","","Phosphatase YwpJ","2","2","1","7","877","","","","869","869","869","PCFFDBNJ_00195","GEALKAJD_00654"
"group_3631","","hypothetical protein","2","2","1","7","1880","","","","749","758","753","PCFFDBNJ_01028","GEALKAJD_01255"
"group_3632","","hypothetical protein","2","2","1","7","2369","","","","1139","1139","1139","PCFFDBNJ_01981","GEALKAJD_02309"
"group_3633","","DegV domain-containing protein","2","2","1","7","2773","","","","863","863","863","PCFFDBNJ_01638","GEALKAJD_00014"
"lplJ","","Lipoate-protein ligase LplJ","2","2","1","7","665","","","","1004","1004","1004","PCFFDBNJ_01528","GEALKAJD_00735"
"group_3635","uvrC_2","UvrABC system protein C","2","2","1","7","782","","","","1778","1778","1778","PCFFDBNJ_00261","GEALKAJD_02040"
"araQ_5","","L-arabinose transport system permease protein AraQ","2","2","1","7","414","","","","863","863","863","PCFFDBNJ_02039","GEALKAJD_02271"
"dltC","","D-alanyl carrier protein","2","2","1","7","671","","","","233","233","233","PCFFDBNJ_01533","GEALKAJD_00730"
"hmo","","4-hydroxymandelate oxidase","2","2","1","7","803","","","","1103","1103","1103","PCFFDBNJ_00241","GEALKAJD_02056"
"group_3639","","hypothetical protein","2","2","1","7","1717","","","","653","653","653","PCFFDBNJ_01176","GEALKAJD_01110"
"fieF","","Ferrous-iron efflux pump FieF","2","2","1","7","1952","","","","1148","1148","1148","PCFFDBNJ_00963","GEALKAJD_01320"
"gatD","","Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD","2","2","1","7","449","","","","698","698","698","PCFFDBNJ_02072","GEALKAJD_02239"
"srtA","","Sortase A","2","2","1","7","3210","","","","752","752","752","PCFFDBNJ_02551","GEALKAJD_02682"
"argS","","Arginine--tRNA ligase","2","2","1","7","3528","","","","1691","1691","1691","PCFFDBNJ_00568","GEALKAJD_01650"
"group_3643","","hypothetical protein","2","2","1","7","430","","","","1166","1166","1166","PCFFDBNJ_02054","GEALKAJD_02256"
"rlmL","","Ribosomal RNA large subunit methyltransferase L","2","2","1","7","1933","","","","1166","1166","1166","PCFFDBNJ_00977","GEALKAJD_01307"
"group_3645","","hypothetical protein","2","2","1","7","3224","","","","1193","1205","1199","PCFFDBNJ_02565","GEALKAJD_02668"
"pbpF","","Penicillin-binding protein 1F","2","2","1","7","2471","","","","2171","2171","2171","PCFFDBNJ_02717","GEALKAJD_02423"
"group_3647","","Lytic chitin monooxygenase","2","2","1","7","1156","","","","578","578","578","PCFFDBNJ_01348","GEALKAJD_00922"
"fabF","","3-oxoacyl-[acyl-carrier-protein] synthase 2","2","2","1","7","1131","","","","1235","1235","1235","PCFFDBNJ_01324","GEALKAJD_00946"
"ybbH_1","","putative HTH-type transcriptional regulator YbbH","2","2","1","7","1110","","","","848","848","848","PCFFDBNJ_01304","GEALKAJD_00966"
"group_365","","Acetyltransferase","2","2","1","7","1946","","","","431","431","431","PCFFDBNJ_00966","GEALKAJD_01317"
"rspR_2","","HTH-type transcriptional repressor RspR","2","2","1","7","3141","","","","686","686","686","PCFFDBNJ_01887","GEALKAJD_00235"
"rpsF","","30S ribosomal protein S6","2","2","1","7","2766","","","","299","299","299","PCFFDBNJ_01631","GEALKAJD_00007"
"group_3652","","hypothetical protein","2","2","1","7","758","","","","1367","1367","1367","PCFFDBNJ_00283","GEALKAJD_02018"
"opuCC","","Glycine betaine/carnitine/choline-binding protein OpuCC","2","2","1","7","2986","","","","917","917","917","PCFFDBNJ_01843","GEALKAJD_00196"
"group_3654","","hypothetical protein","2","2","1","7","2981","","","","266","266","266","PCFFDBNJ_01838","GEALKAJD_00192"
"prmA","","Ribosomal protein L11 methyltransferase","2","2","1","7","2430","","","","947","947","947","PCFFDBNJ_01928","GEALKAJD_02369"
"ponA_1","","Penicillin-binding protein 1A","2","2","1","7","1929","","","","2378","2381","2379","PCFFDBNJ_00981","GEALKAJD_01303"
"group_3657","","hypothetical protein","2","2","1","7","3659","","","","503","503","503","PCFFDBNJ_00431","GEALKAJD_01846"
"group_3658","","hypothetical protein","2","2","1","7","1707","","","","875","875","875","PCFFDBNJ_01185","GEALKAJD_01100"
"tsaD","","tRNA N6-adenosine threonylcarbamoyltransferase","2","2","1","7","3534","","","","1016","1016","1016","PCFFDBNJ_00562","GEALKAJD_01655"
"group_366","","hypothetical protein","2","2","1","7","1944","","","","1163","1163","1163","PCFFDBNJ_00968","GEALKAJD_01315"
"IMPDH","","Inosine-5'-monophosphate dehydrogenase","2","2","1","7","533","","","","1331","1331","1331","PCFFDBNJ_02149","GEALKAJD_02164"
"group_3661","","hypothetical protein","2","2","1","7","2652","","","","464","464","464","PCFFDBNJ_02254","GEALKAJD_02564"
"penA","","Penicillin-binding protein 2B","2","2","1","7","1109","","","","2153","2153","2153","PCFFDBNJ_01303","GEALKAJD_00967"
"pycA","","Pyruvate carboxylase","2","2","1","7","1829","","","","3428","3428","3428","PCFFDBNJ_01073","GEALKAJD_01218"
"yecS_1","","L-cystine transport system permease protein YecS","2","2","1","7","1571","","","","659","659","659","PCFFDBNJ_00868","GEALKAJD_01403"
"rimM","","Ribosome maturation factor RimM","2","2","1","7","3432","","","","521","524","522","PCFFDBNJ_00471","GEALKAJD_01786"
"dinB_1","","DNA polymerase IV","2","2","1","7","679","","","","1121","1121","1121","PCFFDBNJ_01541","GEALKAJD_00722"
"araQ_1","","L-arabinose transport system permease protein AraQ","2","2","1","7","2081","","","","854","854","854","PCFFDBNJ_00052","GEALKAJD_00510"
"yfdH","","Prophage bactoprenol glucosyl transferase ","2","2","1","7","2035","","","","947","947","947","PCFFDBNJ_00090","GEALKAJD_00543"
"tlyA","","Hemolysin A","2","2","1","7","640","","","","818","818","818","PCFFDBNJ_01503","GEALKAJD_00760"
"steT_1","","Serine/threonine exchanger SteT","2","2","1","7","1942","","","","1349","1349","1349","PCFFDBNJ_00972","GEALKAJD_01313"
"group_3670","","hypothetical protein","2","2","1","7","253","","","","263","263","263","PCFFDBNJ_02643","GEALKAJD_02694"
"clsA_1","","Major cardiolipin synthase ClsA","2","2","1","7","1659","","","","1451","1451","1451","PCFFDBNJ_01228","GEALKAJD_01056"
"group_3672","","hypothetical protein","2","2","1","7","1822","","","","275","275","275","PCFFDBNJ_01079","GEALKAJD_01212"
"mleS","","Malolactic enzyme","2","2","1","7","805","","","","1640","1640","1640","PCFFDBNJ_00239","GEALKAJD_02058"
"mdcC","","Malonate decarboxylase acyl carrier protein","2","2","1","7","2217","","","","299","299","299","PCFFDBNJ_02444","GEALKAJD_00336"
"group_3675","","hypothetical protein","2","2","1","7","1520","","","","566","566","566","PCFFDBNJ_00827","GEALKAJD_01449"
"group_3676","","hypothetical protein","2","2","1","7","3218","","","","2609","2609","2609","PCFFDBNJ_02559","GEALKAJD_02674"
"walR","","Transcriptional regulatory protein WalR","2","2","1","7","391","","","","704","704","704","PCFFDBNJ_02010","GEALKAJD_02292"
"group_3678","","hypothetical protein","2","2","1","7","1924","","","","443","443","443","PCFFDBNJ_00985","GEALKAJD_01298"
"ypjQ","","putative protein YpjQ","2","2","1","7","551","","","","509","509","509","PCFFDBNJ_02163","GEALKAJD_02149"
"group_368","","putative epimerase/dehydratase","2","2","1","7","1938","","","","950","953","951","PCFFDBNJ_00973","GEALKAJD_01312"
"group_3680","","hypothetical protein","2","2","1","7","1820","","","","1643","1643","1643","PCFFDBNJ_01081","GEALKAJD_01210"
"yheH","","putative multidrug resistance ABC transporter ATP-binding/permease protein YheH","2","2","1","7","3782","","","","1784","1784","1784","PCFFDBNJ_00368","GEALKAJD_01934"
"mnmE","","tRNA modification GTPase MnmE","2","2","1","7","2754","","","","1397","1397","1397","PCFFDBNJ_01619","GEALKAJD_02651"
"cvfB","","Conserved virulence factor B","2","2","1","7","1681","","","","863","863","863","PCFFDBNJ_01208","GEALKAJD_01077"
"group_3684","","hypothetical protein","2","2","1","7","3070","","","","710","710","710","PCFFDBNJ_02370","GEALKAJD_00411"
"group_3685","","hypothetical protein","2","2","1","7","1168","","","","470","470","470","PCFFDBNJ_01360","GEALKAJD_00917"
"purK","","N5-carboxyaminoimidazole ribonucleotide synthase","2","2","1","7","1794","","","","1124","1124","1124","PCFFDBNJ_01105","GEALKAJD_01187"
"queG","","Epoxyqueuosine reductase","2","2","1","7","2240","","","","1151","1151","1151","PCFFDBNJ_00033","GEALKAJD_00487"
"group_3688","","hypothetical protein","2","2","1","7","3212","","","","260","260","260","PCFFDBNJ_02553","GEALKAJD_02680"
"ygaZ_2","","Inner membrane protein YgaZ","2","2","1","7","2680","","","","707","707","707","PCFFDBNJ_02232","GEALKAJD_02578"
"group_369","","Putative pyridoxal phosphate-dependent acyltransferase","2","2","1","7","1937","","","","1190","1190","1190","PCFFDBNJ_00974","GEALKAJD_01311"
"truA_2","","tRNA pseudouridine synthase A","2","2","1","7","2188","","","","740","743","741","PCFFDBNJ_02472","GEALKAJD_00304"
"secA","","Protein translocase subunit SecA","2","2","1","7","3745","","","","2534","2534","2534","PCFFDBNJ_00332","GEALKAJD_01967"
"group_3692","","hypothetical protein","2","2","1","7","1376","","","","1091","1091","1091","PCFFDBNJ_00664","GEALKAJD_01557"
"group_3693","","hypothetical protein","2","2","1","7","471","","","","242","242","242","PCFFDBNJ_02088","GEALKAJD_02220"
"manZ_6","","PTS system mannose-specific EIID component","2","2","1","7","514","","","","821","821","821","PCFFDBNJ_02131","GEALKAJD_02179"
"iclR","","Transcriptional repressor IclR","2","2","1","7","3008","","","","758","758","758","PCFFDBNJ_01865","GEALKAJD_00217"
"group_3696","","hypothetical protein","2","2","1","7","2547","","","","209","209","209","PCFFDBNJ_00639","GEALKAJD_01579"
"yvbW","","putative amino acid permease YvbW","2","2","1","7","902","","","","1340","1340","1340","PCFFDBNJ_00171","GEALKAJD_00630"
"arnC_3","","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase","2","2","1","7","1220","","","","2138","2138","2138","PCFFDBNJ_01384","GEALKAJD_00878"
"ntpC","","V-type sodium ATPase subunit C","2","2","1","7","773","","","","986","986","986","PCFFDBNJ_00270","GEALKAJD_02031"
"ypwA","","Carboxypeptidase 1","2","2","1","7","1934","","","","1496","1496","1496","PCFFDBNJ_00976","GEALKAJD_01308"
"cdr_1","","Coenzyme A disulfide reductase","2","2","1","7","2093","","","","1655","1655","1655","PCFFDBNJ_02409","GEALKAJD_00378"
"gdpP","","Cyclic-di-AMP phosphodiesterase GdpP","2","2","1","7","2769","","","","1973","1973","1973","PCFFDBNJ_01634","GEALKAJD_00010"
"infB","","Translation initiation factor IF-2","2","2","1","7","3510","","","","2300","2306","2303","PCFFDBNJ_00586","GEALKAJD_01632"
"group_3703","","hypothetical protein","2","2","1","7","3780","","","","224","224","224","PCFFDBNJ_00366","GEALKAJD_01936"
"deoC","","Deoxyribose-phosphate aldolase","2","2","1","7","2813","","","","662","662","662","PCFFDBNJ_01670","GEALKAJD_00040"
"group_3705","","Putative universal stress protein","2","2","1","7","3150","","","","464","464","464","PCFFDBNJ_01896","GEALKAJD_00244"
"endA","","DNA-entry nuclease","2","2","1","7","834","","","","725","725","725","PCFFDBNJ_00232","GEALKAJD_02085"
"group_3707","","hypothetical protein","2","2","1","7","3225","","","","644","644","644","PCFFDBNJ_02566","GEALKAJD_02667"
"lacL","","Beta-galactosidase large subunit","2","2","1","7","2511","","","","1883","1883","1883","PCFFDBNJ_00659","GEALKAJD_01562"
"stp","","Serine/threonine phosphatase stp","2","2","1","7","2600","","","","740","740","740","PCFFDBNJ_02305","GEALKAJD_02512"
"group_371","","hypothetical protein","2","2","1","7","1931","","","","101","539","320","PCFFDBNJ_00979","GEALKAJD_01305"
"ylbL","","putative protein YlbL","2","2","1","7","1835","","","","1043","1043","1043","PCFFDBNJ_01067","GEALKAJD_01224"
"group_3711","","hypothetical protein","2","2","1","7","1881","","","","197","197","197","PCFFDBNJ_01027","GEALKAJD_01256"
"smc_1","","Chromosome partition protein Smc","2","2","1","7","2878","","","","3581","3581","3581","PCFFDBNJ_01736","GEALKAJD_00104"
"group_3713","","hypothetical protein","2","2","1","7","426","","","","161","161","161","PCFFDBNJ_02051","GEALKAJD_02259"
"nusA","","Transcription termination/antitermination protein NusA","2","2","1","7","3513","","","","1175","1175","1175","PCFFDBNJ_00583","GEALKAJD_01635"
